50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
48	46.7633	46.5506	46.443	46.3872	46.3624	46.3584	46.3693	46.3918	46.4236	46.4631	46.5091	46.5605	46.6163	46.6754	46.7369	46.7995	46.8618	46.9225	46.9801	47.033	47.0797	47.1189	47.1494	47.1701	47.1804	47.18	47.1689	47.1475	47.1164	47.0768	47.0297	46.9766	46.9189	46.8582	46.7958	46.7332	46.6718	46.6128	46.5574	46.5068	46.4625	46.426	46.3995	46.3862	46.3913	46.4238	46.501	46.6601	46.9923	48	
46	44.9641	44.7408	44.6174	44.5513	44.5231	44.5219	44.5411	44.5766	44.6254	44.6855	44.7551	44.8329	44.9173	45.007	45.1003	45.1955	45.2905	45.3831	45.4712	45.5524	45.6244	45.685	45.7322	45.7647	45.7812	45.7812	45.7648	45.7326	45.6856	45.6254	45.5538	45.473	45.3853	45.2928	45.1979	45.1027	45.0091	44.9191	44.8345	44.757	44.6885	44.631	44.5874	44.5613	44.5586	44.588	44.6633	44.8042	45.0242	46	
44	43.1634	42.981	42.8733	42.8157	42.7952	42.8034	42.8347	42.8852	42.952	43.0328	43.1259	43.2296	43.3421	43.4616	43.5861	43.7133	43.8405	43.9649	44.0834	44.1929	44.2901	44.372	44.4361	44.4801	44.5026	44.5028	44.4808	44.4373	44.3739	44.2927	44.1963	44.0877	43.9698	43.8458	43.7187	43.5914	43.4664	43.3462	43.2329	43.1288	43.0359	42.9565	42.8935	42.8503	42.8316	42.8438	42.8943	42.9892	43.1231	44	
42	41.315	41.1815	41.1019	41.0632	41.0582	41.0814	41.1287	41.197	41.2839	41.3873	41.5053	41.6363	41.7784	41.9295	42.0871	42.2483	42.41	42.5686	42.72	42.8601	42.9847	43.09	43.1723	43.2288	43.2575	43.2575	43.2287	43.1724	43.0905	42.9859	42.8621	42.7228	42.5722	42.4142	42.2527	42.0911	41.9328	41.7807	41.6373	41.505	41.3861	41.2827	41.1973	41.1327	41.0923	41.0795	41.0974	41.146	41.2187	42	
40	39.4327	39.3453	39.2975	39.2829	39.2981	39.3402	39.4067	39.4953	39.6043	39.732	39.8768	40.037	40.2107	40.3956	40.5888	40.7872	40.9866	41.1827	41.3706	41.5449	41.7003	41.8317	41.9345	42.0049	42.0403	42.0395	42.0026	41.9312	41.8279	41.6965	41.5415	41.368	41.1809	40.9854	40.7862	40.5876	40.3935	40.2072	40.0317	39.8694	39.7224	39.5929	39.4827	39.3938	39.328	39.2868	39.2706	39.2773	39.3012	40	
38	37.5277	37.4816	37.4655	37.4769	37.5148	37.5782	37.6659	37.7767	37.9095	38.0632	38.2365	38.4278	38.6354	38.8567	39.0888	39.3277	39.569	39.8071	40.036	40.2491	40.4397	40.601	40.7272	40.8134	40.8562	40.854	40.8072	40.7178	40.5893	40.4268	40.236	40.0233	39.7951	39.5577	39.3169	39.0778	38.8449	38.622	38.4122	38.218	38.0414	37.884	37.7472	37.6321	37.5392	37.4688	37.4196	37.3888	37.3717	38	
36	35.6065	35.597	35.6108	35.6481	35.7095	35.7953	35.9054	36.0396	36.1975	36.3785	36.5818	36.8062	37.05	37.3108	37.5852	37.8691	38.157	38.4426	38.7183	38.9762	39.2075	39.4039	39.5574	39.6618	39.7129	39.7086	39.6495	39.5384	39.3799	39.1806	38.948	38.6901	38.4151	38.1305	37.8434	37.5598	37.2848	37.0226	36.7763	36.5485	36.3408	36.1545	35.9901	35.848	35.7279	35.6287	35.5487	35.4846	35.432	36	
34	33.673	33.6956	33.7368	33.7988	33.8833	33.9916	34.1245	34.2825	34.4662	34.6754	34.9101	35.1693	35.4518	35.7552	36.0761	36.4099	36.7504	37.09	37.42	37.7301	38.0095	38.2474	38.4334	38.5594	38.6198	38.6125	38.538	38.4001	38.2054	37.9621	37.6802	37.3697	37.0408	36.7027	36.3638	36.0312	35.7105	35.4061	35.1214	34.8585	34.6188	34.4028	34.2107	34.0418	33.895	33.7688	33.6605	33.5668	33.4836	34	
32	31.7293	31.7798	31.8456	31.9304	32.0369	32.1669	32.3221	32.5039	32.7134	32.9514	33.2183	33.514	33.8375	34.1868	34.5587	34.948	35.3481	35.75	36.143	36.5149	36.8521	37.1402	37.3655	37.5171	37.5884	37.5764	37.4825	37.3116	37.0723	36.776	36.4351	36.0628	35.6714	35.2724	34.8755	34.4887	34.1184	33.7692	33.4441	33.1451	32.8729	32.6274	32.4079	32.2132	32.0414	31.8902	31.7565	31.637	31.5274	32	
