100 0 0 0
400 0 0 2
900 0 0 4
1600 0 0 8
2500 0 0 13
3600 1 0 19
4900 1 0 27
6400 0 0 35
8100 0 0 44
10000 1 0 54
12100 1 0 67
14400 2 0 78
16900 3 0 92
19600 4 0 113
22500 4 0 123
25600 5 1 140
28900 5 1 166
32400 6 1 179
36100 7 1 193
40000 8 2 222
44100 10 1 249
48400 10 2 261
52900 10 2 264
57600 11 1 283
62500 12 2 309
67600 13 2 338
72900 14 2 357
78400 16 2 390
84100 17 2 417
90000 19 3 468
96100 20 3 504
102400 22 3 515
108900 23 4 552
115600 26 4 593
122500 26 4 651
129600 28 4 690
136900 28 5 717
144400 31 4 730
152100 33 5 771
160000 35 5 869
168100 39 6 914
176400 38 6 880
184900 39 5 957
193600 43 6 988
