 1     0
 4     0
 9     0
 16    0
 25    1
 36    0
 49    0
 64    0
 81    1
 100   0
 121   1
 144   0
 169   1
 196   1
 225   1
 256   1
 289   2
 324   1
 361   2
 400   2
 441   2
 484   2
 529   2
 576   3
 625   3
 676   3
 729   4
 784   3
 841   4
 900   4
 961   5
 1024  5
 1089  5
 1156  6
 1225  5
 1296  6
 1369  7
 1444  6
 1521  8
 1600  8
 1681  8
 1764  9
 1849  9
 1936  10
 2025  10
 2116  11
 2209  11
 2304  11
 2401  11
 2500  12
 2601  12
 2704  14
 2809  14
 2916  14
 3025  14
 3136  15
 3249  18
 3364  17
 3481  17
 3600  17
 3721  18
 3844  19
 3969  18
 4096  20
 4225  21
 4356  21
 4489  22
 4624  22
 4761  23
 4900  24
 5041  25
 5184  27
 5329  27
 5476  27
 5625  30
 5776  28
 5929  28
 6084  30
 6241  32
 6400  35
 6561  36
 6724  35
 6889  35
 7056  35
 7225  36
 7396  38
 7569  37
 7744  38
 7921  39
 8100  43
 8281  43
 8464  42
 8649  43
 8836  46
 9025  45
 9216  45
 9409  46
 9604  48
 9801  47
 10000 50
 10201 49
 10404 51
 10609 52
 10816 52
 11025 53
 11236 54
 11449 55
 11664 56
 11881 61
 12100 60
 12321 59
 12544 63
 12769 62
 12996 64
 13225 68
 13456 67
 13689 67
 13924 70
 14161 69
 14400 72
 14641 73
 14884 75
 15129 76
 15376 78
 15625 80
 15876 78
 16129 81
 16384 85
 16641 85
 16900 88
 17161 85
 17424 88
 17689 89
 17956 89
 18225 90
 18496 103
 18769 102
 19044 99
 19321 99
 19600 95
 19881 104
 20164 105
 20449 103
 20736 100
 21025 101
 21316 104
 21609 108
 21904 116
 22201 118
 22500 116
 22801 115
 23104 129
 23409 135
 23716 120
 24025 124
 24336 138
 24649 125
 24964 122
 25281 128
 25600 131
 25921 133
 26244 134
 26569 136
 26896 131
 27225 134
 27556 139
 27889 133
 28224 152
 28561 142
 28900 143
 29241 149
