100 0 0
400 0 0
900 0 0
1600 0 0
2500 0 0
3600 1 0
4900 1 0
6400 1 0
8100 1 0
10000 2 0
12100 2 0
14400 2 0
16900 3 0
19600 3 0
22500 3 1
25600 4 0
28900 5 0
32400 5 1
36100 6 1
40000 6 2
44100 7 1
48400 9 1
52900 10 1
57600 11 2
62500 12 1
67600 14 2
72900 14 2
78400 16 2
84100 17 2
90000 19 2
96100 20 2
102400 22 3
108900 22 3
115600 25 3
122500 25 4
129600 28 4
136900 28 4
144400 30 4
152100 33 5
160000 33 5
168100 36 5
176400 36 6
184900 40 6
193600 41 6
202500 44 7
211600 44 6
220900 48 7
230400 48 7
240100 52 8
250000 55 8
260100 56 10
270400 58 10
280900 58 10
291600 63 11
302500 62 11
313600 69 11
324900 67 11
336400 73 12
348100 72 12
360000 78 13
372100 76 13
384400 84 13
396900 82 14
409600 89 15
422500 87 14
435600 94 16
448900 92 16
462400 100 16
476100 99 17
490000 104 18
504100 103 17
518400 112 18
532900 110 19
547600 111 19
562500 121 21
577600 118 20
592900 128 21
608400 130 22
624100 140 22
640000 135 24
656100 138 24
672400 147 23
688900 143 24
705600 152 25
722500 148 26
739600 155 28
756900 163 29
774400 167 30
792100 169 27
810000 167 29
828100 174 29
846400 174 30
864900 187 30
883600 180 31
902500 185 32
921600 197 32
940900 196 33
960400 204 35
980100 204 35
1000000 206 38
