
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"
# Contour 0, label:       10
-41.6182  28.979  8 
-41.6146  29.0791  8 
-41.611  29.1792  8 
-41.6074  29.2793  8 
-41.6038  29.3794  8 
-41.6002  29.4795  8 
-41.5966  29.5796  8 
-41.593  29.6797  8 
-41.5894  29.7798  8 
-41.5859  29.8799  8 
-41.5823  29.98  8 
-41.5787  30.0801  8 
-41.5752  30.1802  8 
-41.5716  30.2803  8 
-41.568  30.3804  8 
-41.5645  30.4805  8 
-41.5609  30.5806  8 
-41.5574  30.6807  8 
-41.5538  30.7808  8 
-41.5503  30.8809  8 
-41.5468  30.981  8 
-41.5432  31.0811  8 
-41.5397  31.1812  8 
-41.5362  31.2813  8 
-41.5326  31.3814  8 
-41.5291  31.4815  8 
-41.5256  31.5816  8 
-41.5221  31.6817  8 
-41.5186  31.7818  8 
-41.5151  31.8819  8 
-41.5116  31.982  8 
-41.5081  32.0821  8 
-41.5046  32.1822  8 
-41.5012  32.2823  8 
-41.4977  32.3824  8 
-41.4942  32.4825  8 
-41.4907  32.5826  8 
-41.4873  32.6827  8 
-41.4838  32.7828  8 
-41.4804  32.8829  8 
-41.4769  32.983  8 
-41.4735  33.0831  8 
-41.47  33.1832  8 
-41.4666  33.2833  8 
-41.4632  33.3834  8 
-41.4597  33.4835  8 
-41.4563  33.5836  8 
-41.4529  33.6837  8 
-41.4495  33.7838  8 
-41.4461  33.8839  8 
-41.4427  33.984  8 
-41.4393  34.0841  8 
-41.4359  34.1842  8 
-41.4325  34.2843  8 
-41.4292  34.3844  8 
-41.4258  34.4845  8 
-41.4224  34.5846  8 
-41.4191  34.6847  8 
-41.4157  34.7848  8 
-41.4124  34.8849  8 
-41.409  34.985  8 
-41.4057  35.0851  8 
-41.4024  35.1852  8 
-41.399  35.2853  8 
-41.3957  35.3854  8 
-41.3924  35.4855  8 
-41.3891  35.5856  8 
-41.3858  35.6857  8 
-41.3825  35.7858  8 
-41.3792  35.8859  8 
-41.3759  35.986  8 
-41.3726  36.0861  8 
-41.3694  36.1862  8 
-41.3661  36.2863  8 
-41.3628  36.3864  8 
-41.3596  36.4865  8 
-41.3563  36.5866  8 
-41.3531  36.6867  8 
-41.3499  36.7868  8 
-41.3466  36.8869  8 
-41.3434  36.987  8 
-41.3402  37.0871  8 
-41.337  37.1872  8 
-41.3338  37.2873  8 
-41.3306  37.3874  8 
-41.3274  37.4875  8 
-41.3242  37.5876  8 
-41.321  37.6877  8 
-41.3178  37.7878  8 
-41.3147  37.8879  8 
-41.3115  37.988  8 
-41.3084  38.0881  8 

-41.9919  18.5686  8 
-41.9885  18.6687  8 
-41.9851  18.7688  8 
-41.9817  18.8689  8 
-41.9783  18.969  8 
-41.9748  19.0691  8 
-41.9714  19.1692  8 
-41.9679  19.2693  8 
-41.9645  19.3694  8 
-41.961  19.4695  8 
-41.9575  19.5696  8 
-41.9541  19.6697  8 
-41.9506  19.7698  8 
-41.9471  19.8699  8 
-41.9436  19.97  8 
-41.9401  20.0701  8 
-41.9366  20.1702  8 
-41.9331  20.2703  8 
-41.9295  20.3704  8 
-41.926  20.4705  8 
-41.9225  20.5706  8 
-41.9192  20.6638  8 
-41.9189  20.6707  8 
-41.9154  20.7708  8 
-41.9119  20.8709  8 
-41.9083  20.971  8 
-41.9048  21.0711  8 
-41.9012  21.1712  8 
-41.8976  21.2713  8 
-41.8941  21.3714  8 
