Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.46     91.27     0.53 102726396     0.00     0.00  Value* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, Value*, Value>(__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, __gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, Value*, std::allocator<Value>&)
  0.46     91.80     0.53 95510102     0.00     0.00  std::vector<double, std::allocator<double> >::_M_erase_at_end(double*)
  0.45     92.33     0.53 208319778     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, true>::_S_base(__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >)
  0.45     92.85     0.53 102726396     0.00     0.00  Value* std::uninitialized_copy<__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, Value*>(__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, __gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, Value*)
  0.44     93.37     0.52 193600295     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.44     93.88     0.51 102806457     0.00     0.00  std::_Vector_base<Value, std::allocator<Value> >::_M_allocate(unsigned long)
  0.43     94.38     0.50 102737163     0.00     0.00  std::vector<Value, std::allocator<Value> >::~vector()
  0.43     94.88     0.50 102726396     0.00     0.00  Value* std::copy<__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, Value*>(__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, __gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, Value*)
  0.43     95.38     0.50 98000199     0.00     0.00  double* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, double>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, std::allocator<double>&)
  0.42     95.87     0.49 98000199     0.00     0.00  std::allocator_traits<std::allocator<double> >::select_on_container_copy_construction(std::allocator<double> const&)
  0.42     96.35     0.49 98090193     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.41     96.83     0.48 102726396     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Value> >::_S_select_on_copy(std::allocator<Value> const&)
  0.40     97.30     0.47 208319778     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > > >(__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >)
  0.40     97.76     0.47   120314     0.00     0.00  std::vector<std::vector<Value, std::allocator<Value> >, std::allocator<std::vector<Value, std::allocator<Value> > > >::size() const
  0.40     98.22     0.46 208319778     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, false>::_S_base(__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >)
