40	1.07958		1510	1310
50	1.06425		2290	2020
70	0.952056	5540	4880
100	0.880661	11050	9890
130	0.860192	28350	17030
150	0.836845	25840	22390
180	0.825962	35900	32010
200	0.817233	46700	39870
230	0.810000	63230	52850
250	0.810825	67530	61310
300	0.798957	92429	86570
